Name,Honorific,Given Name,Surname,Major Affiliation,Subgroup Affiliation,Role/Title,Location,Status
Argent Whitegate,,Argent,Whitegate,Whitegate Family,Church of Amaunator,Zenith Lord (Amaunator),Castle Radiance,Active
Blaze Whitegate,,Blaze,Whitegate,Whitegate Family,,Bishop of Dagger Falls,Dagger Falls – Cathedral,Active
Luminous Whitegate,,Luminous,Whitegate,Whitegate Family,,"Commander, Order of the Lambent Shield",Castle Radiance,Active
Lumina Whitegate,,Lumina,Whitegate,Whitegate Family,White Cloaks,Retired White Cloak,Liberty Hill,Retired/Deceased
Lady Hasting Blackmane,Lady,Hasting,Blackmane,Whitegate Family,Estate Management,Steward of Loedegan Close,Loedegan Close,Active
Captain Iolus Warburton,Captain,Iolus,Warburton,White Cloaks,White Cloaks,"Captain, White Cloaks – Mountain Team",Castle Radiance – White Cloak Tower,Active
Administrator Alen Reks,Administrator,Alen,Reks,White Cloaks,White Cloaks,"Administrator, White Cloaks",Loedegan Close,Active
Troia Trustar,,Troia,Trustar,White Cloaks,,"Sergeant, Diplomatic Missions (Sune)",Traveling / White Cloak Tower,Active
Alystair Dretch,,Alystair,Dretch,White Cloaks,,"Sergeant, Diplomatic Support",Traveling / White Cloak Tower,Active
Hennigan Paros,,Hennigan,Paros,White Cloaks,White Cloaks,"Sergeant, White Cloaks – Heartland Team",Loedegan Close,Active
Ganolen Thendolain,,Ganolen,Thendolain,White Cloaks,White Cloaks,"Member, White Cloaks – Heartland Team",Loedegan Close,Active
Imogen Mystral,,Imogen,Mystral,White Cloaks,White Cloaks,"Member, White Cloaks – Heartland Team",Loedegan Close,Active
Bastian Swift,,Bastian,Swift,White Cloaks,White Cloaks,"Member, White Cloaks – Heartland Team",Loedegan Close,Active
Vanion Creed,,Vanion,Creed,White Cloaks,White Cloaks,"Sergeant, White Cloaks – Tethyamar Team",Tethyamar – Yarl Orgen’s Hall,Active
Mr. Bollinger,Mr.,—,Bollinger,White Cloaks,White Cloaks,"Artificer, White Cloaks – Tethyamar Team",Tethyamar – Yarl Orgen’s Hall,Active
Durandal,,Durandal,—,White Cloaks,White Cloaks,"Fighter, White Cloaks – Tethyamar Team",Tethyamar – Yarl Orgen’s Hall,Active
Guggenheim Thorbardson,,Guggenheim,Thorbardson,White Cloaks,White Cloaks,"Beast Master, White Cloaks – Tethyamar Team",Tethyamar – Yarl Orgen’s Hall,Active
Tuugan Swift,,Tuugan,Swift,White Cloaks,White Cloaks,"Retired, White Cloaks",Crossed Blades Farm,Retired/Deceased
Lesia Goering,,Lesia,Goering,White Cloaks,Estate Management,"Steward, White Cloak Tower",Castle Radiance – White Cloak Tower,Active
Flora Scarlett,,Flora,Scarlett,White Cloaks,Estate Management,"Steward, Arwencroft & Intelligence Agent",Charity – Arwencroft,Active
Magistrate Banitt Harbaugh,Magistrate,Banitt,Harbaugh,White Cloaks,,Retired Magistrate of Liberty Hill,Liberty Hill,Retired/Deceased
Tarra Hilltop,,Tarra,Hilltop,White Cloaks,White Cloaks,"Team Leader, White Cloaks (ex-Sunblade)",Mobile / Formerly Castle Radiance,Active
Magistrate Invictus,Magistrate,Invictus,,Church of Amaunator,Church of Amaunator,"Senior Magistrate, Church of Amaunator",Dagger Falls – Cathedral,Active
Magistrate Silvan Dale,Magistrate,Silvan,Dale,Church of Amaunator,Church of Amaunator,"Librarian, Yellow Abbey",Dagger Falls – Yellow Abbey,Active
Brother Darred,Brother,Darred,,Church of Amaunator,Candlekeep,Candlekeep Emissary,Dagger Falls – Yellow Abbey,Active
Brother Vessuvian,Brother,Vessuvian,,Church of Amaunator,Candlekeep,"Assistant to Darred, Candlekeep Emissary",Dagger Falls – Yellow Abbey,Active
Chaplain of the Doves,Chaplain,of,Doves,Church of Amaunator,,"Aviary Overseer, Cathedral of Dagger Falls",Dagger Falls – Cathedral Aviary,Active
Brother Phinneas Hoetmer,Brother,Phinneas,Hoetmer,Church of Amaunator,,Scholar of Oghma (Deceased),Dagger Falls – Historic Wing (deceased),Retired/Deceased
Shea the Avenger,,Shea,Avenger,Church of Amaunator,Church of Amaunator,Zealous Warrior of Amaunator (Missing),Gribbons' Farm (last known),Missing/Presumed Dead
Abbot Aldrus Ambershields,Abbot,Aldrus,Ambershields,Church of Amaunator,,Independent Cleric (Cormyr),Traveling / Cormyrean Outpost,Active
General Dauntless Thunderstorm,General,Dauntless,Thunderstorm,Church of Amaunator,Sunblades,"General, Sunblades",Castle Radiance,Active
Lady Khara Sulwood,Lady,Khara,Sulwood,Ally,,Lady of Shadowdale,Shadowdale,Active
Franko Petrark,,Franko,Petrark,Ally,Alavandor Academy,"Dean, Alavandor Academy",Dagger Falls – Alavandor Academy,Active
Mayor Lilly Cassimar,Mayor,Lilly,Cassimar,Ally,,Mayor of Dagger Falls,Dagger Falls – Mayoral Residence,Active
Madeleine Oakdale,,Madeleine,Oakdale,Ally,,High Cultivar of Chauntea,Crossed Blades Farm,Active
Decker Blackmane,,Decker,Blackmane,Ally,,Former Mayor of Tesh Valley,Tesh Valley Farm,Active
